"gender","ethnicity","birth","grade","star","read","math","lunch","school","degree","ladder","experience","tethnicity","system","schoolid","id"
"female","cauc",1980.25,"kindergarten","regular+aide",439,489,"non-free","rural","master","level1",20,"cauc",3,3,"9684"
"female","afam",1979.75,"kindergarten","regular+aide",443,494,"free","inner-city","master","level1",5,"cauc",11,33,"9685"
"male","cauc",1979.75,"kindergarten","regular",476,513,"non-free","suburban","bachelor","pending",3,"cauc",25,58,"9686"
"female","afam",1980,"kindergarten","regular+aide",NA,NA,"free","inner-city","bachelor","level1",6,"cauc",11,16,"9687"
"male","cauc",1980,"kindergarten","regular+aide",497,547,"non-free","urban","master","level1",8,"cauc",26,59,"9688"
"female","afam",1980,"kindergarten","small",422,418,"non-free","suburban","bachelor","apprentice",5,"afam",11,24,"9689"
"female","asian",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9690"
"male","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9691"
"male","cauc",1980.25,"kindergarten","regular",497,494,"non-free","suburban","bachelor",NA,3,"cauc",18,43,"9692"
"male","cauc",1979.75,"kindergarten","regular",467,528,NA,"suburban","bachelor","apprentice",1,NA,11,21,"9693"
"female","cauc",1980,"kindergarten","regular+aide",451,506,"non-free","rural","master","level1",6,"cauc",35,69,"9694"
"male","afam",1979.75,"kindergarten","regular",443,576,"free","suburban","master","level1",24,"cauc",18,44,"9695"
"female","cauc",1980.25,"kindergarten","regular+aide",428,423,"free","rural","bachelor","level1",14,"cauc",37,73,"9696"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9697"
"male","cauc",1979.25,"kindergarten","regular+aide",507,559,"non-free","urban","master","level1",12,"cauc",7,10,"9698"
"male","cauc",1979.5,"kindergarten","regular",451,473,"non-free","suburban","master+","level1",13,"cauc",22,51,"9699"
"male","afam",1980.25,"kindergarten","regular",439,506,"free","inner-city","bachelor","probation",0,"cauc",11,31,"9700"
"female","afam",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9701"
"female","cauc",1979.75,"kindergarten","regular+aide",431,429,"free","suburban","bachelor","level1",17,"cauc",18,43,"9702"
"female","cauc",1980,"kindergarten","small",422,454,"non-free","suburban","bachelor",NA,15,"cauc",18,43,"9703"
"female","cauc",1980.5,"kindergarten","regular",416,473,"non-free","suburban","bachelor","level1",0,"cauc",11,17,"9704"
NA,NA,NA,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9705"
"female","afam",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9706"
"male","cauc",1979.75,"kindergarten","small",437,468,"non-free","rural","bachelor","level1",15,"cauc",32,66,"9707"
"male","cauc",1979.5,"kindergarten","regular+aide",474,626,"non-free","suburban","bachelor","apprentice",3,"cauc",18,42,"9708"
"male","cauc",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9709"
"male","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9710"
"female","cauc",1979.75,"kindergarten","regular",451,520,"non-free","rural","master","level1",13,"cauc",23,55,"9711"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9712"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9713"
"female","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9714"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9715"
"male","afam",1980,"kindergarten","regular",NA,NA,"free","inner-city","bachelor",NA,6,"afam",11,27,"9716"
"male","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9717"
"female",NA,NA,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9718"
"male","cauc",1980.5,"kindergarten","regular",428,484,"free","urban","master+","level1",13,"cauc",27,60,"9719"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9720"
"female","cauc",1980,"kindergarten","regular",461,576,"non-free","suburban","master","level1",12,"cauc",22,52,"9721"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9722"
"male","cauc",1980,"kindergarten","regular+aide",470,478,"non-free","urban","bachelor","level1",14,"cauc",6,9,"9723"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9724"
"male","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9725"
"male","cauc",1980.25,"kindergarten","small",NA,NA,"non-free","urban","bachelor","level1",11,"cauc",26,59,"9726"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9727"
"male","afam",1979.75,"kindergarten","regular",410,576,"free","inner-city","bachelor","level1",5,"cauc",11,29,"9728"
"female","cauc",1980.5,"kindergarten","regular+aide",437,520,"non-free","suburban","master+","level1",12,"cauc",22,51,"9729"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9730"
"male","cauc",1980.25,"kindergarten","regular",431,463,"free","rural","bachelor","level1",2,"cauc",40,76,"9731"
"male","cauc",1980,"kindergarten","regular+aide",410,444,"free","inner-city","bachelor","level1",9,"cauc",22,53,"9732"
"female","afam",1978.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9733"
"male","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9734"
"male","cauc",1980,"kindergarten","regular",416,454,"free","rural","bachelor","level1",16,"cauc",29,62,"9735"
"male","afam",1980.5,"kindergarten","regular",407,449,"free","inner-city","bachelor","probation",0,"cauc",11,31,"9736"
"male","afam",1980,"kindergarten","regular",478,520,"free","inner-city","bachelor","probation",0,"afam",11,27,"9737"
"female","cauc",1978.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9738"
"male","cauc",1980.25,"kindergarten","small",463,559,"non-free","suburban","master","level1",15,"cauc",22,51,"9739"
"female","cauc",1980,"kindergarten","regular+aide",410,459,"non-free","suburban","master","level1",8,"cauc",28,61,"9740"
"male","cauc",1979.75,"kindergarten","regular+aide",428,484,"non-free","rural","bachelor","level1",11,"cauc",4,6,"9741"
"male","cauc",1980,"kindergarten","regular",416,454,"non-free","suburban","bachelor","probation",14,"cauc",18,42,"9742"
"female",NA,NA,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9743"
"male","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9744"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9745"
"male","afam",1980.25,"kindergarten","small",411,439,"non-free","suburban","master","level1",20,"cauc",11,17,"9746"
"female","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9747"
"male","afam",1979.75,"kindergarten","regular",453,500,"free","inner-city","bachelor",NA,6,"afam",11,27,"9748"
"male","cauc",1980,"kindergarten","small",474,547,"non-free","suburban","bachelor","probation",0,"cauc",18,43,"9749"
"female","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9750"
"female","cauc",1980,"kindergarten","regular+aide",455,528,"non-free","rural","bachelor","level1",4,"cauc",29,62,"9751"
"female","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9752"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9753"
"female","afam",1980.5,"kindergarten","small",407,429,"free","inner-city","master","level1",6,"cauc",11,28,"9754"
"male",NA,1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9755"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9756"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9757"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9758"
"female","cauc",1980,"kindergarten","regular+aide",483,528,"non-free","suburban","bachelor","level1",5,"afam",22,51,"9759"
"male","cauc",1980,"kindergarten","regular+aide",437,478,"non-free","rural","bachelor","level1",3,"cauc",5,7,"9760"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9761"
"female","cauc",1980.25,"kindergarten","small",460,513,"free","rural","bachelor","level1",6,"cauc",35,69,"9762"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9763"
"female","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9764"
"male","cauc",1979.5,"kindergarten","regular",545,489,"non-free","rural","bachelor","apprentice",3,"afam",24,56,"9765"
"female","cauc",1979.75,"kindergarten","regular",443,489,"free","rural","bachelor","level1",11,"cauc",31,64,"9766"
"male","cauc",1980.5,"kindergarten","regular+aide",416,454,"non-free","rural","master","level1",12,"cauc",21,50,"9767"
"male","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9768"
"female","cauc",1980.5,"kindergarten","small",442,459,"free","rural","bachelor","level1",19,"cauc",31,64,"9769"
"male","cauc",1980.25,"kindergarten","regular+aide",427,489,"non-free","urban","bachelor",NA,11,"cauc",13,37,"9770"
"male","cauc",1980.25,"kindergarten","small",470,528,"free","suburban","master","level1",14,"afam",11,21,"9771"
"male","afam",1980.25,"kindergarten","regular",NA,NA,"free","inner-city","bachelor",NA,9,"afam",11,28,"9772"
"female","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9773"
"female","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9774"
"female","cauc",1980.25,"kindergarten","regular",478,528,"non-free","rural","bachelor","level1",13,"cauc",41,79,"9775"
"female","afam",1979.75,"kindergarten","regular+aide",427,513,"free","rural","master","level1",12,"cauc",21,50,"9776"
"male","afam",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9777"
"male","afam",1980,"kindergarten","regular+aide",419,463,"non-free","suburban","bachelor","level1",17,"cauc",25,58,"9778"
"male","afam",1980.25,"kindergarten","regular",518,626,"free","suburban","master","level1",24,"cauc",18,44,"9779"
"female","afam",1979.75,"kindergarten","small",431,489,"free","inner-city","bachelor","level1",6,"afam",11,19,"9780"
"female","afam",1980,"kindergarten","regular+aide",503,468,"free","inner-city","bachelor","probation",0,"cauc",11,19,"9781"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9782"
"male","afam",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9783"
"male","cauc",1980.5,"kindergarten","regular",NA,NA,"free","rural","bachelor","apprentice",2,"cauc",24,57,"9784"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9785"
"male","cauc",1980.5,"kindergarten","regular+aide",440,528,"free","suburban","bachelor",NA,2,"cauc",11,25,"9786"
"male","cauc",1978.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9787"
"female","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9788"
"female","cauc",1980.25,"kindergarten","regular",NA,NA,"non-free","rural","master","level1",5,"cauc",19,47,"9789"
"male","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9790"
"male","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9791"
"male","afam",1980.25,"kindergarten","regular+aide",419,506,"non-free","suburban","bachelor","level1",21,"afam",11,23,"9792"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9793"
"female","cauc",1980.5,"kindergarten","small",419,463,"free","urban","bachelor","level1",21,"cauc",20,48,"9794"
"female","afam",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9795"
"female","cauc",1980.5,"kindergarten","regular+aide",450,494,"non-free","urban","master","level1",8,"cauc",26,59,"9796"
"female","cauc",1980,"kindergarten","small",425,444,"non-free","suburban","bachelor","level1",10,"cauc",18,42,"9797"
"male","cauc",1979.75,"kindergarten","small",458,528,"non-free","urban","master","level1",14,"cauc",26,59,"9798"
"male","cauc",1980.5,"kindergarten","regular+aide",434,468,"non-free","rural","bachelor","level1",13,"cauc",8,11,"9799"
"male","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9800"
"female","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9801"
"male","afam",1978.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9802"
"male","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9803"
"female","afam",1980.25,"kindergarten","small",440,463,"free","suburban","bachelor","level1",21,"cauc",11,20,"9804"
"male","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9805"
"female","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9806"
"male","cauc",1979.75,"kindergarten","regular",NA,NA,"free","rural","master","level1",13,"cauc",23,55,"9807"
"male","cauc",1980,"kindergarten","regular",413,434,"free","urban","master","level1",6,"cauc",2,2,"9808"
"female","cauc",1979.75,"kindergarten","small",437,463,"free","rural","bachelor","level1",10,"cauc",32,66,"9809"
"female","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9810"
"female","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9811"
"male","cauc",1977.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9812"
"female","cauc",1980,"kindergarten","small",434,520,"free","rural","bachelor","level1",2,"cauc",15,39,"9813"
"female","cauc",1980.25,"kindergarten","small",436,459,"free","rural","bachelor","level1",22,"cauc",40,76,"9814"
"female","cauc",1980.25,"kindergarten","small",455,513,"non-free","rural","bachelor","level1",8,"cauc",21,49,"9815"
"male","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9816"
"male","cauc",1980,"kindergarten","small",427,478,"non-free","urban","bachelor","level1",21,"cauc",20,48,"9817"
"male","cauc",1978.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9818"
"male","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9819"
"male","cauc",1979.75,"kindergarten","small",422,473,"non-free","rural","master","level1",6,"cauc",29,62,"9820"
"male","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9821"
"male","afam",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9822"
"male","cauc",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9823"
"female","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9824"
"female","afam",1979.75,"kindergarten","small",NA,463,"free","urban","bachelor","probation",1,"cauc",13,37,"9825"
"male","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9826"
"female","cauc",1980,"kindergarten","regular+aide",485,576,"non-free","rural","master","level1",10,"cauc",36,72,"9827"
"male","cauc",1980.25,"kindergarten","regular+aide",440,626,"non-free","rural","bachelor","level2",9,"cauc",5,7,"9828"
"female","cauc",1980,"kindergarten","small",442,484,"non-free","suburban","bachelor",NA,10,"afam",22,51,"9829"
"female","cauc",1979.75,"kindergarten","small",445,494,"free","rural","bachelor","level1",19,"cauc",31,64,"9830"
"female","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9831"
"male","cauc",1980.25,"kindergarten","regular+aide",428,473,"non-free","rural","bachelor","level1",10,"cauc",34,68,"9832"
"female","cauc",1978.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9833"
"male","afam",1980,"kindergarten","regular+aide",418,392,"free","inner-city","bachelor","level1",11,"cauc",18,45,"9834"
"female","cauc",1980.5,"kindergarten","regular",425,494,"non-free","rural","bachelor","level1",16,"cauc",29,62,"9835"
"male","cauc",1979.75,"kindergarten","regular",427,429,"non-free","rural","master","level1",13,"cauc",39,75,"9836"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9837"
"male","cauc",1979.75,"kindergarten","regular+aide",433,484,"non-free","suburban","bachelor","level1",17,"cauc",25,58,"9838"
"female","cauc",1980.5,"kindergarten","regular",436,494,"free","rural","bachelor","apprentice",3,"afam",24,56,"9839"
"male","cauc",1980.25,"kindergarten","regular",510,547,"non-free","rural","master","level3",16,"cauc",34,68,"9840"
"female","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9841"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9842"
"male","afam",1980.25,"kindergarten","regular+aide",416,478,"non-free","rural","bachelor","level1",10,"cauc",34,68,"9843"
"male","afam",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9844"
"female","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9845"
"male","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9846"
"male","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9847"
"male","cauc",1978.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9848"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9849"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9850"
"female","afam",1980.25,"kindergarten","regular+aide",460,468,"free","inner-city","bachelor","level1",16,"afam",11,22,"9851"
"male","cauc",1980.5,"kindergarten","regular+aide",416,454,"free","rural","master","level1",6,"cauc",35,69,"9852"
"female","cauc",NA,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9853"
"female","cauc",1980.5,"kindergarten","small",433,468,"free","urban","master","level1",13,"cauc",13,37,"9854"
"male","afam",1980.25,"kindergarten","regular",NA,NA,"free","suburban","bachelor",NA,4,"cauc",11,20,"9855"
"male","afam",1980.5,"kindergarten","regular+aide",470,473,"free","inner-city","master","level1",10,"afam",11,28,"9856"
"male","cauc",1980.25,"kindergarten","small",458,559,"non-free","suburban","master","probation",8,"cauc",17,41,"9857"
"male","cauc",1979,"kindergarten","regular+aide",433,547,"non-free","rural","master","level1",7,"cauc",30,63,"9858"
"female","afam",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9859"
"male","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9860"
"male","afam",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9861"
"female","cauc",1980,"kindergarten","small",436,454,"free","rural","master","level1",12,"cauc",4,6,"9862"
"female","cauc",1978,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9863"
"male","cauc",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9864"
"female","cauc",1980.5,"kindergarten","regular",451,536,"non-free","suburban","master","level3",15,"cauc",17,41,"9865"
"male","cauc",1980.25,"kindergarten","small",456,473,"free","suburban","master","level1",4,"cauc",18,46,"9866"
"female","cauc",1980,"kindergarten","regular+aide",455,506,"non-free","rural","bachelor","level1",9,"cauc",21,49,"9867"
"male","afam",1980.5,"kindergarten","small",428,513,"free","inner-city","bachelor","apprentice",2,"afam",11,16,"9868"
"female","cauc",1979.75,"kindergarten","regular+aide",456,454,"free","rural","bachelor","level1",14,"cauc",37,73,"9869"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9870"
"female","afam",1979.75,"kindergarten","small",458,484,"free","inner-city","bachelor",NA,14,"afam",11,33,"9871"
"female","cauc",1980,"kindergarten","regular+aide",447,528,"non-free","rural","bachelor","level1",6,"cauc",10,13,"9872"
"female","cauc",1978,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9873"
"female","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9874"
"male","cauc",1980,"kindergarten","regular",474,500,"free","rural","bachelor","level1",10,"cauc",30,63,"9875"
"female","cauc",1980.25,"kindergarten","regular",439,500,"free","rural","bachelor",NA,4,"cauc",12,35,"9876"
"female","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9877"
"male","cauc",1980.5,"kindergarten","small",419,449,"non-free","rural","bachelor","level1",10,"cauc",32,66,"9878"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9879"
"male","cauc",1980.25,"kindergarten","regular+aide",411,399,"free","urban","bachelor","level1",11,"cauc",6,9,"9880"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9881"
"female","cauc",1980,"kindergarten","small",424,444,"free","rural","master","level1",12,"cauc",4,6,"9882"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9883"
"male","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9884"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9885"
"female","afam",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9886"
"male","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9887"
"male","afam",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9888"
"male","afam",1980.5,"kindergarten","regular",391,354,"free","inner-city","master+","level1",8,"cauc",11,16,"9889"
"male","afam",1980.5,"kindergarten","regular",422,423,"free","urban","master","level1",6,"cauc",2,2,"9890"
"female","afam",1980.5,"kindergarten","regular+aide",427,484,"free","inner-city","bachelor","level1",11,"cauc",11,31,"9891"
"female","cauc",1980.5,"kindergarten","regular",436,528,"non-free","rural","bachelor","probation",0,"cauc",5,7,"9892"
"male","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9893"
"female","afam",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9894"
"male","cauc",1980,"kindergarten","regular+aide",538,494,"non-free","rural","bachelor","level1",3,"cauc",32,66,"9895"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9896"
"female","afam",1980,"kindergarten","regular+aide",424,468,"non-free","inner-city","master","level1",11,"cauc",11,18,"9897"
"female","cauc",1979.75,"kindergarten","regular",428,536,"non-free","rural","bachelor","level1",2,"cauc",40,76,"9898"
"male","cauc",1980,"kindergarten","small",402,429,"non-free","suburban","master","level1",4,"cauc",18,46,"9899"
"male","cauc",1979.5,"kindergarten","small",461,528,"free","rural","master","level1",12,"cauc",42,80,"9900"
"male","afam",1980,"kindergarten","small",458,559,"free","inner-city","bachelor","level1",6,"cauc",11,31,"9901"
"male","cauc",1979.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9902"
"female","cauc",1980.25,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9903"
"female","cauc",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9904"
"male","cauc",1980,"kindergarten","small",456,473,"non-free","suburban","master","level1",17,"cauc",12,36,"9905"
"female","afam",1980.5,"kindergarten","regular+aide",422,449,"non-free","inner-city","bachelor",NA,2,"cauc",11,32,"9906"
"female","afam",1980,"kindergarten","small",480,536,"non-free","inner-city","bachelor","apprentice",2,"cauc",11,30,"9907"
"female","afam",1980.5,"kindergarten","regular",419,468,"non-free","suburban","bachelor","level1",6,"cauc",11,24,"9908"
"female","afam",1980.25,"kindergarten","regular",416,439,"free","inner-city","master","probation",6,"cauc",11,33,"9909"
"female","afam",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9910"
"male","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9911"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9912"
"male","afam",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9913"
"female","cauc",1979.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9914"
"male","cauc",1980.5,"kindergarten","regular",605,547,"non-free","suburban","bachelor","level1",11,"cauc",22,51,"9915"
"female","cauc",1980.5,"kindergarten","regular",439,528,"non-free","rural","master","level1",15,"cauc",5,7,"9916"
"male","afam",1980.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9917"
"female","cauc",1980,"kindergarten","regular",414,444,"free","rural","master","level1",12,"cauc",36,72,"9918"
"male","cauc",1979.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9919"
"male","cauc",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9920"
"female","afam",1978.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9921"
"male","cauc",1978.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9922"
"male","afam",1978.5,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9923"
"female","cauc",1979.5,"kindergarten","regular+aide",439,484,"non-free","rural","bachelor","level1",3,"cauc",5,7,"9924"
"male","cauc",1980.5,"kindergarten","regular",422,500,"free","rural","bachelor","level1",20,"cauc",9,12,"9925"
"male","hispanic",1980.25,"kindergarten","small",424,468,"non-free","suburban","bachelor","level1",10,"cauc",18,42,"9926"
"female","afam",1979,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9927"
"male","cauc",1980,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9928"
"male","afam",1980.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9929"
"male","afam",1978.75,"kindergarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9930"
